title,vote_count,vote_average
Explorers,120.0,6.2
The Scent of Green Papaya,37.0,7.4
Pierrot le Fou,134.0,7.7
Weekend,48.0,7.2
One Hundred and One Nights,4.0,6.8
Strange Cargo,6.0,6.6
Seven Girlfriends,2.0,6.0
Tuesdays with Morrie,10.0,6.0
Temptation of a Monk,2.0,6.0
Alexander Nevsky,26.0,6.8
Jason and the Argonauts,138.0,7.1
Same Old Song,15.0,6.9
Nostalgia,77.0,7.5
The Soft Skin,30.0,7.1
Tinker Tailor Soldier Spy,10.0,7.6
Wintersleepers,10.0,6.7
The Driller Killer,40.0,4.9
Perfectly normal,1.0,5.5
Throne of Blood,181.0,7.7
The Best of Youth,88.0,8.0
Guncrazy,12.0,5.0
Bang Rajan,7.0,6.9
Treasure Island,36.0,5.6
Zorba the Greek,55.0,7.0
Undercurrent,11.0,5.8
Bang Bang You're Dead,53.0,7.2
My Side of the Mountain,10.0,6.4
The Thin Blue Lie,1.0,6.0
The Unsaid,32.0,6.8
Twister,5.0,5.0
Sniper,109.0,5.9
Don't Tell Anyone,6.0,5.5
Ghost in the Machine,19.0,5.0
A Time for Drunken Horses,22.0,6.6
Genghis Blues,6.0,6.4
To Hell and Back,15.0,6.6
11'09''01 - September 11,24.0,6.1
"Bon Voyage, Charlie Brown (and Don't Come Back!)",12.0,6.2
Internal Affairs,71.0,6.5
The Parallax View,70.0,6.9
The Warriors,451.0,7.4
Mayerling,5.0,6.6
Ambush,13.0,6.3
Babylon 5: A Call to Arms,36.0,6.9
Babylon 5: The River of Souls,29.0,6.1
Babylon 5: Thirdspace,39.0,6.4
FM,6.0,6.7
Waterloo,33.0,7.1
True Stories,22.0,6.1
North Beach,0.0,0.0
Zardoz,106.0,5.8
School for Scoundrels,20.0,6.6
The Virgin Spring,129.0,7.8
Ice Cold in Alex,14.0,7.5
Mogambo,38.0,6.2
Demon Lover Diary,1.0,5.0
Second Skin,6.0,6.3
Victory,3.0,4.7
The Secret Life of Walter Mitty,35.0,6.9
Cypher,196.0,6.7
The Rack,4.0,3.5
Another Thin Man,20.0,7.0
The Thin Man Goes Home,15.0,6.4
Shadow of the Thin Man,17.0,6.2
After the Thin Man,30.0,7.1
Song of the Thin Man,16.0,6.6
Woodstock,67.0,7.1
Junior Size 36,4.0,5.3
The Internecine Project,4.0,7.8
Love Crazy,6.0,7.9
Gunga Din,38.0,6.6
Frank Herbert's Children of Dune,61.0,6.8
Frank Herbert's Dune,114.0,6.7
Lammbock,66.0,7.0
The Legend I,45.0,7.1
Tremors 2: Aftershocks,209.0,5.9
Tremors 3: Back to Perfection,149.0,5.4
The Peanut Butter Solution,10.0,5.7
Hallelujah I'm a Bum,2.0,2.5
Getting It Right,3.0,4.7
Straight to Hell,6.0,4.8
Margaret Cho: Notorious C.H.O.,2.0,4.0
Friday Night,1.0,5.0
White Zombie,52.0,5.9
The Plague of the Zombies,24.0,6.0
I Walked with a Zombie,54.0,6.7
Highway 61,7.0,6.0
The Vampire Lovers,36.0,6.5
Countess Dracula,30.0,5.7
The Cheerleaders,2.0,4.5
How to Succeed in Business Without Really Trying,12.0,6.6
Pat Garrett & Billy the Kid,67.0,7.2
The Left Handed Gun,21.0,5.5
The Last Man on Earth,82.0,6.6
The Streetfighter,21.0,7.0
Return of the Street Fighter,14.0,5.9
"Duck, You Sucker",176.0,7.7
Bring Me the Head of Alfredo Garcia,89.0,7.0
Ride the High Country,40.0,7.1
The Ballad of Cable Hogue,48.0,6.9
Junior Bonner,27.0,6.4
Master of the Flying Guillotine,27.0,5.9
Frankenstein Must Be Destroyed,26.0,6.4
The Haunted Palace,31.0,6.4
Finder's Fee,13.0,5.8
The Whip and the Body,25.0,6.2
Berlin: Symphony of a Great City,11.0,8.0
Samurai Fiction,18.0,6.9
Gidget,13.0,5.9
Wild in the Streets,11.0,6.0
The Indian Runner,23.0,6.2
Drunken Angel,54.0,7.7
Desperate Living,29.0,6.7
The Devil's Rain,14.0,5.5
The Valachi Papers,18.0,7.4
Rolling Thunder,48.0,6.7
Stray Dog,56.0,7.3
The Hidden Fortress,117.0,8.0
High and Low,123.0,8.2
After the Rehearsal,9.0,6.3
The People Under the Stairs,150.0,6.4
My New Gun,2.0,6.0
Dark Days,36.0,7.7
A Night in Casablanca,30.0,7.3
Zelig,209.0,7.4
Face to Face,18.0,6.9
Shame,42.0,7.6
The Silence,70.0,7.5
Winter Light,77.0,7.6
Through a Glass Darkly,98.0,7.6
The Magician,44.0,7.4
Smiles of a Summer Night,58.0,7.6
Summer with Monika,52.0,7.6
The Killers,81.0,7.6
The Night of the Iguana,36.0,6.9
Freud: The Secret Passion,10.0,6.2
Reflections in a Golden Eye,16.0,6.1
Under the Volcano,20.0,6.7
Wise Blood,22.0,6.5
The Yakuza,29.0,6.9
A Better Place,1.0,9.0
Nightbreed,106.0,6.4
Shock,21.0,6.4
Rabid Dogs,29.0,7.4
Baron Blood,19.0,6.3
Bloody Mama,17.0,5.9
The Trip,18.0,5.8
Ken Park,136.0,5.7
Monterey Pop,18.0,7.2
A Bridge Too Far,210.0,7.0
Infernal Affairs,490.0,7.7
A Tale of Two Sisters,234.0,7.0
Broadway Danny Rose,104.0,7.2
From Beyond,105.0,6.5
The Wonderful Ice Cream Suit,0.0,0.0
Robot Jox,32.0,5.3
Dolls,80.0,6.1
Space Truckers,38.0,5.6
Not of This Earth,14.0,4.5
Rock 'n' Roll High School,39.0,6.6
Death Race 2000,125.0,6.0
Cockfighter,8.0,6.1
A Bucket of Blood,31.0,6.4
Premature Burial,27.0,6.1
The Wild Angels,17.0,5.8
Bedlam,17.0,6.1
Planet of the Vampires,41.0,6.2
Pure Country,18.0,6.8
Brigadoon,33.0,6.8
Marjorie Morningstar,5.0,5.5
The Power of One,46.0,7.6
The Weather Underground,15.0,6.9
Kikujiro,90.0,7.5
I'm with Lucy,12.0,5.2
"Spring, Summer, Fall, Winter... and Spring",240.0,7.6
The Phantom Tollbooth,21.0,6.8
The Getaway,120.0,7.0
10 Rillington Place,45.0,6.9
Dark Water,132.0,6.7
The Thing Called Love,41.0,6.5
The Thief,21.0,7.1
How to Steal a Million,133.0,7.5
The Stendhal Syndrome,40.0,5.6
Dangan Runner,1.0,7.0
Manslaughter,1.0,6.0
Support Your Local Sheriff,41.0,6.7
Brain Donors,18.0,6.1
Passed Away,0.0,0.0
Mean Streets,359.0,7.2
Jack the Bear,14.0,5.9
I Am a Fugitive from a Chain Gang,47.0,7.4
Hamburger Hill,120.0,6.5
The Last Broadcast,28.0,5.1
Harper,37.0,6.3
Sweet Bird of Youth,21.0,5.4
Dahmer,56.0,5.2
Paradise,13.0,5.6
Sundays and Cybele,14.0,7.3
Comes a Horseman,8.0,4.6
Grill Point,7.0,6.9
Frankenstein Unbound,21.0,5.4
Shiri,41.0,6.0
Bad Day at Black Rock,88.0,7.0
La Cucaracha,3.0,3.8
In China They Eat Dogs,81.0,7.5
Delta Force 2: The Colombian Connection,48.0,5.3
Crossroads,66.0,6.9
29th Street,5.0,7.0
Seducing Doctor Lewis,18.0,7.0
City Limits,4.0,2.8
Sammy and Rosie Get Laid,6.0,5.7
Leaving Normal,7.0,6.0
Sunrise: A Song of Two Humans,155.0,7.9
Shock Corridor,62.0,6.5
The First $20 Million Is Always the Hardest,14.0,5.1
Au Revoir les Enfants,137.0,7.5
Sex: The Annabel Chong Story,3.0,5.3
The Girl Next Door,4.0,5.1
Pursuit of Happiness,0.0,0.0
Gladiator 1992,28.0,5.7
The Inheritance,13.0,7.0
Wonderful Days,44.0,6.3
Indestructible Man,7.0,4.9
The Wasp Woman,19.0,4.6
Attack of the Giant Leeches,15.0,4.1
Deranged,26.0,5.6
The Cruel Sea,16.0,7.5
Sodom and Gomorrah,5.0,5.3
Dead or Alive,34.0,6.4
Lola Montès,22.0,7.3
Charly,28.0,6.6
Twice Upon a Time,8.0,6.4
"Atlantis, the Lost Continent",10.0,5.6
Lust for Life,41.0,7.1
La Dolce Vita,305.0,7.9
Jin-Roh: The Wolf Brigade,82.0,7.4
Rush,43.0,6.9
Captain Blood,55.0,7.3
The Lift,26.0,5.6
Batteries not Included,222.0,6.3
Educating Rita,44.0,6.3
On Moonlight Bay,6.0,6.3
Sansho the Bailiff,68.0,8.7
Zazie dans le métro,29.0,6.6
The Americanization of Emily,21.0,6.1
Anne of the Thousand Days,32.0,7.0
Baby Doll,32.0,7.2
L'Avventura,117.0,7.6
Beyond the Valley of the Dolls,53.0,6.6
Hiroshima Mon Amour,123.0,8.0
"The 1,000 Eyes of Dr. Mabuse",11.0,7.1
Ugetsu,101.0,8.1
At Play in the Fields of the Lord,11.0,5.8
The Golden Coach,13.0,7.3
The War Is Over,8.0,5.7
Mystery of the Wax Museum,24.0,6.3
The Day of the Jackal,150.0,7.3
The Razor's Edge,17.0,6.1
The Walking Dead,14.0,6.6
War of the Buttons,21.0,7.2
The Other,33.0,6.0
Dexter the Dragon & Bumble the Bear,8.0,7.3
Night of the Living Dead,198.0,6.7
Drums Along the Mohawk,22.0,6.5
The Maltese Falcon,15.0,5.9
I Love You Again,11.0,6.8
Safety Last!,76.0,7.7
While the City Sleeps,25.0,7.0
The Way Ahead,13.0,6.8
Little Murders,12.0,6.8
Viridiana,93.0,7.6
Totally Fucked Up,12.0,6.5
Masterminds,13.0,4.1
You're a Big Boy Now,13.0,5.9
Lupin the Third: The Castle of Cagliostro,170.0,7.5
Arizona Dream,170.0,7.2
Chaos,9.0,6.1
Queen Christina,24.0,6.8
Battleground,21.0,6.4
Citizen Toxie: The Toxic Avenger IV,30.0,6.2
Hooper,36.0,6.1
The Crazy Stranger,19.0,7.8
3 Women,66.0,6.8
The Green Pastures,3.0,5.3
Take Me Out to the Ball Game,12.0,6.9
Grey Gardens,43.0,7.2
Frogs,30.0,4.1
Purple Rain,91.0,6.6
Signs of Life,8.0,6.5
Point of No Return,134.0,6.0
Short Time,14.0,6.5
The Hairdresser's Husband,41.0,7.2
Cromwell,22.0,6.6
Jamon Jamon,60.0,6.2
College,20.0,7.0
Mitchell,15.0,4.4
Ten Little Indians,25.0,6.5
The Idiot,24.0,7.3
Used People,5.0,6.0
The Swan,5.0,6.7
The Most Dangerous Game,43.0,7.2
The Front Page,10.0,7.0
Dolls,76.0,7.6
Three Came Home,2.0,6.5
Our Man in Havana,28.0,6.9
The Man Who Came to Dinner,14.0,6.0
Sunday Bloody Sunday,27.0,6.4
The Cowboys,60.0,7.0
Make Way for Tomorrow,37.0,7.7
The Major and the Minor,25.0,6.4
The Caine Mutiny,78.0,7.2
Black Narcissus,106.0,7.7
H.M.S. Defiant,12.0,6.6
Escape from Alcatraz,581.0,7.3
Oliver Twist,36.0,7.5
Skokie,1.0,6.0
Shrek 2,3082.0,6.7
The Day After Tomorrow,2462.0,6.2
Raising Helen,195.0,5.9
Soul Plane,109.0,4.7
Baadasssss!,13.0,6.7
The Mother,18.0,6.3
Saved!,148.0,6.3
Time of the Wolf,45.0,6.4
Harry Potter and the Prisoner of Azkaban,6037.0,7.7
Mindhunters,339.0,6.3
Zatoichi,236.0,7.3
The Chronicles of Riddick,1593.0,6.3
Garfield,851.0,5.2
The Stepford Wives,339.0,5.4
Bright Future,14.0,6.8
The Hunting of the President,1.0,8.0
Napoleon Dynamite,567.0,6.7
City of Joy,30.0,6.3
The Doctor,24.0,6.6
The Dresser,18.0,6.8
Father Hood,20.0,5.5
For Me and My Gal,12.0,6.2
Hello Again,14.0,5.1
Hope Springs,28.0,5.1
Love Finds Andy Hardy,7.0,6.5
Lover Come Back,23.0,6.5
Police Academy: Mission to Moscow,178.0,4.1
Ring of Bright Water,6.0,3.2
Big Wednesday,47.0,6.8
Fool for Love,5.0,5.7
Give My Regards to Broad Street,5.0,4.5
The Hi-Line,1.0,4.0
The Last of Sheila,25.0,7.1
The Playboys,5.0,6.3
Star!,7.0,6.0
We're Not Married!,10.0,5.7
Wish You Were Here,18.0,5.8
The Adventures of Sherlock Holmes,26.0,7.2
Book of Love,8.0,5.4
Helen of Troy,7.0,6.8
The Hound of the Baskervilles,45.0,7.3
Hour of the Wolf,82.0,7.4
The Molly Maguires,16.0,5.9
Suddenly,22.0,6.4
Urban Ghost Story,2.0,4.0
Possessed,14.0,6.8
Dying of Laughter,18.0,6.1
Kings Row,10.0,6.0
The Kid Brother,13.0,7.5
The Divorcee,10.0,5.6
Meet the Applegates,6.0,5.0
Robot Carnival,7.0,6.9
Americathon,4.0,2.3
The Chipmunk Adventure,15.0,5.8
Sands of Iwo Jima,33.0,6.2
This Island Earth,49.0,5.6
The ComDads,63.0,6.2
Anthony Adverse,6.0,6.3
Blackboard Jungle,45.0,6.9
Moment by Moment,4.0,1.3
It Had to Be You,4.0,5.8
Luna Papa,6.0,6.5
The Long Way Home,0.0,0.0
Investigation of a Citizen Above Suspicion,86.0,7.9
True Love,7.0,4.8
To Each His Own,3.0,5.2
The Heiress,35.0,7.7
State Fair,19.0,6.2
Dragon Seed,3.0,3.3
Executive Suite,8.0,6.7
Johnny Belinda,19.0,6.3
Super Size Me,520.0,6.6
Johnny Eager,9.0,5.3
None But the Lonely Heart,11.0,5.7
La Jetée,165.0,7.9
"Distant Voices, Still Lives",24.0,6.8
The King of Kings,8.0,5.6
Northwest Passage,11.0,6.3
The Picture of Dorian Gray,45.0,7.5
The Born Losers,13.0,5.3
The Human Condition I: No Greater Love,42.0,8.5
Samsara,23.0,7.1
Bachelor Mother,9.0,5.7
Please Don't Eat the Daisies,18.0,5.7
Siddhartha,3.0,5.3
White Heat,92.0,7.8
Scrooge,81.0,7.5
Memphis Belle,123.0,6.4
The Cincinnati Kid,62.0,7.0
Animal Factory,46.0,6.6
The Panic in Needle Park,74.0,6.5
Pretty Baby,48.0,6.2
Godzilla vs. Mechagodzilla,36.0,6.3
The Hitcher,192.0,6.9
Show Boat,18.0,6.9
Ivanhoe,38.0,6.9
Box of Moonlight,15.0,7.1
The Eel,18.0,6.3
Fear X,46.0,5.9
Freaks,228.0,7.7
The Immigrant,55.0,7.5
Silent Movie,79.0,6.7
A Matter of Life and Death,73.0,8.0
Anna Christie,7.0,5.6
It Lives By Night,5.0,1.6
Deep Cover,36.0,6.8
Dr. Jekyll and Mr. Hyde,56.0,7.3
My Little Chickadee,4.0,7.5
The High and the Mighty,17.0,5.5
The Ugly Dachshund,27.0,6.4
Around the World in 80 Days,687.0,5.7
I'll Sleep When I'm Dead,28.0,5.3
DodgeBall: A True Underdog Story,1009.0,6.2
The Terminal,1974.0,7.1
Dear Frankie,48.0,7.1
White Chicks,704.0,6.3
The Door in the Floor,48.0,6.0
The Notebook,3163.0,7.7
Two Brothers,185.0,6.9
De-Lovely,33.0,6.3
The Intended,0.0,0.0
Kaena: The Prophecy,15.0,5.4
Back to Bataan,16.0,5.5
Bloodhounds of Broadway,6.0,5.6
A Day at the Races,44.0,7.5
Flying Leathernecks,6.0,6.7
"Now You See Him, Now You Don't",22.0,7.2
Plain Dirty,1.0,4.0
Bob & Carol & Ted & Alice,20.0,6.2
The Littlest Rebel,8.0,5.4
Reconstruction,27.0,6.4
Will Vinton's Claymation Christmas Celebration,4.0,7.6
Happenstance,9.0,6.1
Kops,58.0,6.4
Comandante,15.0,7.1
Undead,57.0,5.5
The Scarlet and the Black,10.0,6.4
Into the Woods,10.0,7.9
Pirates of Silicon Valley,178.0,6.8
Manufacturing Consent: Noam Chomsky and the Media,21.0,7.6
The Clock,7.0,6.6
Leave Her to Heaven,50.0,7.0
Rapa Nui,33.0,6.2
Roxie Hart,6.0,7.0
Mayor of the Sunset Strip,5.0,7.2
Killing Me Softly,80.0,5.6
The Winter War,21.0,7.2
The Philadelphia Experiment,104.0,6.1
The Wheeler Dealers,6.0,6.4
Juice,103.0,7.0
The Secret Life of Girls,1.0,6.0
The Flim-Flam Man,9.0,6.7
Revenge of the Pink Panther,121.0,6.4
Riders,44.0,5.4
I Am Dina,10.0,5.5
The Escapist,7.0,5.9
Angels with Dirty Faces,74.0,7.6
Zero for Conduct,40.0,6.8
Shadows,39.0,7.2
Coming Out,10.0,7.0
Taxi,653.0,6.5
Taxi 3,367.0,5.5
Pull My Daisy,4.0,5.5
Tokyo Godfathers,178.0,7.7
The Butcher,36.0,7.0
Our Hospitality,49.0,7.7
All of Me,93.0,6.4
The Farmer's Daughter,4.0,5.5
Lassie Come Home,24.0,6.4
The Time of Your Life,3.0,4.0
Overboard,240.0,6.7
The Mask of Fu Manchu,15.0,5.2
By the Light of the Silvery Moon,3.0,5.7
BUtterfield 8,14.0,5.4
Johnny Guitar,78.0,7.6
Sister My Sister,19.0,6.0
The Exterminating Angel,118.0,7.8
ivans xtc.,7.0,5.2
Fahrenheit 9/11,403.0,6.9
Roxanne,174.0,6.4
Freedom Downtime,6.0,7.7
The Same River Twice,2.0,7.0
Dr. Terror's House of Horrors,33.0,5.9
Confessions of a Burning Man,2.0,4.0
Search and Destroy,4.0,6.1
The Book of Life,9.0,6.9
Such a Long Journey,0.0,0.0
Hard Times,56.0,6.7
Secret Society,0.0,0.0
The Last Starfighter,225.0,6.5
Tank,23.0,5.8
Last Cannibal World,16.0,6.3
Spider-Man 2,4432.0,6.7
America's Heart and Soul,2.0,4.3
Before Sunset,734.0,7.6
The Clearing,57.0,5.6
King Arthur,827.0,6.1
Anchorman: The Legend of Ron Burgundy,1523.0,6.7
Sleepover,105.0,5.4
A Cinderella Story,737.0,6.1
"I, Robot",3889.0,6.7
Maria Full of Grace,103.0,6.9
Distant Drums,14.0,5.6
Follow That Dream,15.0,6.0
The Girl of Your Dreams,15.0,7.1
Gray Lady Down,20.0,6.7
Long Day's Journey Into Night,13.0,6.2
Man of La Mancha,15.0,6.7
The Night of the Following Day,10.0,5.3
Posse,10.0,5.1
Prince Valiant,7.0,5.9
Rustlers' Rhapsody,9.0,4.9
A Short Film About Killing,58.0,7.6
The Tin Star,20.0,7.0
Zandalee,23.0,4.2
Brief Crossing,6.0,5.7
The Deluge,7.0,7.4
How the West Was Won,83.0,6.6
Joan of Arc,11.0,6.4
Live Forever,3.0,5.5
Mr. Klein,24.0,7.3
The Bourne Supremacy,2873.0,7.2
Catwoman,833.0,4.2
A Home at the End of the World,45.0,6.8
Some Girl,4.0,5.0
Stay Hungry,15.0,5.8
The Testament of Dr. Mabuse,46.0,7.5
Zus & Zo,4.0,6.3
Battle Hymn,3.0,7.3
Crash Dive,5.0,5.6
Disco Pigs,19.0,5.8
The Enemy Below,46.0,7.2
Fist of the North Star,15.0,4.4
Flash Gordon Conquers the Universe,7.0,5.1
Guns of the Magnificent Seven,19.0,5.1
The Hunters,7.0,4.8
In a Glass Cage,24.0,7.0
Lancelot of the Lake,16.0,5.6
The Last Valley,14.0,6.2
The Magnificent Seven Ride!,12.0,5.5
A Man Escaped,93.0,8.0
The Miracle of Marcelino,34.0,6.0
Morituri,14.0,5.9
Orgy of the Dead,10.0,3.2
Shalako,12.0,5.4
A Shock to the System,24.0,6.7
Slaughterhouse-Five,47.0,6.3
His Brother,4.0,6.1
Wake Island,5.0,6.0
What Price Glory,3.0,6.3
You Were Never Lovelier,9.0,7.8
The Bachelor and the Bobby-Soxer,24.0,7.1
Breezy,32.0,7.2
The City of No Limits,8.0,6.5
The Comfort of Strangers,24.0,5.9
Dancing in September,1.0,6.5
Destination Tokyo,14.0,6.4
Dr. Jekyll and Ms. Hyde,12.0,4.8
Dream Lover,13.0,5.9
Fausto 5.0,3.0,5.3
For Queen & Country,14.0,5.3
Funny About Love,7.0,4.8
The Greatest,6.0,7.2
Grief,1.0,3.0
Hometown Legend,2.0,4.5
How I Got Into College,12.0,5.5
Map of the Human Heart,13.0,6.7
Mr. Blandings Builds His Dream House,43.0,7.2
My Favorite Wife,32.0,7.2
The New Adventures of Pippi Longstocking,18.0,5.8
Night and Day,8.0,4.8
No Name on the Bullet,17.0,5.6
The Plainsman,2.0,7.0
Slaughter of the Innocents,5.0,5.9
The Snake Pit,19.0,7.1
The Spoilers,10.0,5.8
The Super,21.0,5.5
Tai-Pan,6.0,4.3
Two of a Kind,28.0,5.7
Warriors,3.0,3.7
The Leopard,133.0,7.8
"Goodbye, Columbus",8.0,4.3
The President's Analyst,12.0,5.3
The Day of the Locust,16.0,6.2
The Creeping Flesh,18.0,6.0
Swann in Love,8.0,6.0
To End All Wars,42.0,6.7
Moulin Rouge,17.0,6.5
The Belly of an Architect,22.0,6.6
The Nest,32.0,6.1
Love Happy,11.0,5.4
High School Confidential!,3.0,6.0
Out of the Blue,17.0,6.5
Crimetime,1.0,4.0
A Woman Is a Woman,63.0,7.5
Mamma Roma,45.0,7.5
The Lower Depths,28.0,6.7
Ruby Cairo,8.0,4.4
Night Patrol,3.0,4.8
Biggles,18.0,5.1
Fancy Pants,4.0,5.1
The World of Suzie Wong,7.0,6.5
King of the Ants,21.0,5.9
Uncle Sam,11.0,5.1
"Yesterday, Today and Tomorrow",57.0,7.5
La Belle Noiseuse,25.0,7.4
La balance,12.0,5.9
Gun Crazy,57.0,7.2
The Set-Up,21.0,6.8
Unprecedented: The 2000 Presidential Election,4.0,8.3
The Prime of Miss Jean Brodie,32.0,6.3
My Voyage to Italy,13.0,7.2
The North Avenue Irregulars,4.0,5.5
Lovers and Other Strangers,5.0,5.2
Kotch,3.0,6.7
Greyfriars Bobby: The True Story of a Dog,13.0,6.8
Side Out,10.0,4.0
The Three Lives of Thomasina,12.0,6.8
"No Deposit, No Return",9.0,6.7
"The One and Only, Genuine, Original Family Band",3.0,5.5
Under the Lighthouse Dancing,0.0,0.0
This Gun for Hire,29.0,7.1
Black Angel,13.0,5.8
The Big Clock,32.0,6.5
Criss Cross,32.0,6.7
The Fifth Musketeer,3.0,6.0
Evilspeak,22.0,5.2
Terror by Night,27.0,6.6
The Spy Who Came in from the Cold,73.0,7.0
Sherlock Holmes and the Secret Weapon,23.0,6.8
The Woman in Green,21.0,6.2
The Counterfeit Traitor,10.0,5.2
"One, Two, Three, Sun",4.0,5.6
Roadkill,5.0,5.3
Dressed to Kill,21.0,6.8
Bon voyage,20.0,5.7
The Assassination Bureau,14.0,5.8
The Manchurian Candidate,401.0,6.2
Thunderbirds,92.0,4.2
The Village,1101.0,6.2
Garden State,631.0,7.1
Early Summer,32.0,8.1
Port of Shadows,31.0,7.4
Thunderbirds are GO,18.0,5.9
Thunderbird 6,17.0,6.1
Castle Keep,16.0,5.1
Revengers Tragedy,2.0,3.8
Beyond Hypothermia,4.0,5.3
Octane,14.0,5.1
PTU,30.0,6.7
Unfinished Piece for Mechanical Piano,9.0,5.9
The Warrior,15.0,6.3
A Funny Thing Happened on the Way to the Forum,26.0,6.1
Salesman,14.0,7.8
Collateral,1476.0,7.0
Little Black Book,114.0,5.2
Code 46,116.0,6.2
In the Soup,10.0,5.9
They Came to Cordura,6.0,6.2
Blue Spring,21.0,6.4
Story of Women,21.0,7.8
Attack the Gas Station!,40.0,6.3
Masques,6.0,5.9
Harold & Kumar Go to White Castle,709.0,6.6
The Princess Diaries 2: Royal Engagement,726.0,6.0
Danny Deckchair,23.0,5.6
AVP: Alien vs. Predator,1241.0,5.6
Yu-Gi-Oh! The Movie,71.0,5.4
Novo,10.0,6.4
We Don't Live Here Anymore,29.0,5.8
Without a Paddle,217.0,5.3
Exorcist: The Beginning,189.0,4.7
Speedway,10.0,5.3
The Trouble with Girls,6.0,5.3
It Happened at the World's Fair,12.0,5.4
Double Trouble,6.0,6.1
Spinout,8.0,5.2
Harum Scarum,4.0,5.5
The Spaceman and King Arthur,7.0,5.1
The Sting II,12.0,4.5
If a Man Answers,7.0,5.4
Cheerleader Camp,19.0,5.2
Human Resources,8.0,6.4
Bill Cosby: Himself,14.0,7.5
Dead Ringer,22.0,6.9
Benji: Off the Leash!,6.0,4.8
Anacondas: The Hunt for the Blood Orchid,200.0,4.9
Suspect Zero,99.0,5.5
Warriors of Heaven and Earth,32.0,6.2
Vanity Fair,75.0,5.5
The Cookout,10.0,4.6
Paparazzi,52.0,5.8
Wicker Park,159.0,6.7
Triggermen,3.0,4.7
Alice Doesn't Live Here Anymore,83.0,6.7
The Mangler,59.0,4.4
Who's That Knocking at My Door,30.0,5.9
Seeing Other People,8.0,5.6
Past Midnight,3.0,6.3
A Million to Juan,3.0,4.3
Camera Buff,17.0,7.3
No End,5.0,7.0
Highwaymen,50.0,5.8
Graffiti Bridge,8.0,5.4
I Vitelloni,79.0,7.6
Under the Cherry Moon,12.0,5.7
Flipper,17.0,5.1
Smile,10.0,6.9
Lord Jim,21.0,6.8
A Small Circle of Friends,1.0,6.0
Night of the Demons,71.0,6.1
Witchboard,59.0,5.8
Roller Boogie,12.0,5.0
Lilith,16.0,6.5
The Apple,13.0,4.6
Superbabies: Baby Geniuses 2,36.0,1.9
Cellular,548.0,6.1
Resident Evil: Apocalypse,1286.0,6.1
Criminal,34.0,6.5
Evergreen,1.0,7.0
Mr. 3000,66.0,5.0
Sky Captain and the World of Tomorrow,445.0,5.7
Wimbledon,303.0,6.0
Anatomy of Hell,29.0,5.2
Head in the Clouds,41.0,5.8
First Daughter,176.0,5.4
The Forgotten,359.0,5.5
The Last Shot,15.0,5.9
A Dirty Shame,65.0,5.4
The Motorcycle Diaries,295.0,7.2
Shaun of the Dead,2479.0,7.5
"Come Back, Little Sheba",8.0,6.4
The Black Orchid,3.0,3.3
Second Chorus,8.0,5.6
Class of Nuke 'Em High 2: Subhumanoid Meltdown,14.0,4.9
Murder on the Orient Express,240.0,6.9
Mask,106.0,7.0
Alexander's Ragtime Band,6.0,4.8
The Boston Strangler,51.0,6.7
The Last Flight of Noah's Ark,13.0,5.7
The Man with One Red Shoe,74.0,5.4
The Sentinel,53.0,6.3
Sssssss,19.0,5.9
Whispers in the Dark,7.0,5.8
Stealing Time,2.0,4.3
The Legacy,19.0,5.3
The Alligator People,11.0,6.1
Hear No Evil,6.0,4.7
Basket Case 3,23.0,4.8
Basket Case 2,33.0,5.6
Orca: The Killer Whale,69.0,5.5
AKA,4.0,5.3
I Married a Monster from Outer Space,12.0,6.0
The Trojan Women,4.0,6.1
Robinson Crusoe,18.0,6.4
Hardcore,40.0,6.7
Watermelon Man,6.0,6.8
Flashpoint,10.0,6.7
Bug,23.0,6.7
The Terror,26.0,5.0
Jack O,10.0,4.1
1492: Conquest of Paradise,180.0,6.1
Cannibal Holocaust,347.0,5.8
Shark Tale,1612.0,5.8
Ladder 49,213.0,6.2
Black Cloud,0.0,0.0
I Heart Huckabees,245.0,6.2
Raise Your Voice,221.0,6.0
Taxi,245.0,4.8
Around the Bend,13.0,6.1
Primer,671.0,6.9
Stage Beauty,34.0,7.0
Shall We Dance?,308.0,5.9
Team America: World Police,667.0,6.6
Eulogy,34.0,6.4
P.S.,15.0,5.9
The Country Girl,10.0,6.7
The Rose Tattoo,10.0,6.4
Epidemic,23.0,6.2
Tess,70.0,6.6
I Wanna Hold Your Hand,29.0,6.5
Spinning Boris,4.0,6.0
Circle of Iron,14.0,5.9
Cannonball,20.0,5.7
The Fearless Vampire Killers,137.0,6.9
Black Beauty,8.0,5.6
The Five Obstructions,33.0,6.7
Born Rich,6.0,6.7
It's Alive,39.0,5.6
The Decline of the American Empire,21.0,6.8
Bébé's Kids,14.0,6.4
All I Want For Christmas,24.0,5.6
Life and Nothing But,7.0,6.4
Friday Night Lights,154.0,7.0
Tarnation,22.0,7.5
The Final Cut,194.0,5.9
Hair Show,1.0,0.5
Riding the Bullet,52.0,5.0
Spin,2.0,4.8
Being Julia,23.0,6.4
The Dust Factory,8.0,4.5
Thérèse: The Story of Saint Thérèse of Lisieux,2.0,6.3
Surviving Christmas,107.0,5.1
The Grudge,889.0,5.8
Alfie,255.0,5.5
Sideways,484.0,6.9
The Machinist,1280.0,7.3
Vera Drake,80.0,6.8
Falling Angels,5.0,6.2
